Date,Open,High,Low,Close,Adj Close,Volume
30-04-2021,77600,81699,77200,80720.54688,80263.72656,60005
03-05-2021,80399.89844,81127.95313,79300.10156,79907.54688,79455.32813,18348
04-05-2021,80880,80880,78410.14844,78614.5,78169.60938,24181
05-05-2021,79299.95313,79398.95313,77751,78277.70313,77834.71875,17889
06-05-2021,78300,79199.95313,77756.25,77887.29688,77446.51563,17273
07-05-2021,78300,78770,77200,77446.20313,77007.92188,21111
10-05-2021,78200,78745,77500,78370.04688,77926.53906,15645
11-05-2021,77914,78989.95313,77606.35156,78621.14844,78176.23438,14533
12-05-2021,78300,79225.10156,77001,77267.29688,76830.02344,21902
14-05-2021,77501,77850,75950,76135.75,75704.875,23176
17-05-2021,76780,78464.29688,76000,78211.79688,77769.1875,20991
18-05-2021,78850,79947,78405.54688,79270,78821.39063,24073
19-05-2021,79272,80000,78340.04688,79683.20313,79232.27344,19150
20-05-2021,79800,82469.95313,79246.35156,81231.10156,80771.39844,26037
21-05-2021,81700,82483.64844,81300,82178.20313,81713.14844,20210
24-05-2021,82360,83300,82000,82458.85156,81992.20313,15291
25-05-2021,82706,83098.95313,81921,82181.64844,81716.5625,11453
26-05-2021,82669.95313,82800,81400,81569.5,81107.875,10203
27-05-2021,81599.89844,83174.85156,81355.60156,82794.14844,82325.59375,18209
28-05-2021,83199,83650,82825,83382.10156,82910.22656,10943
31-05-2021,83237,83965,83000,83641.39844,83168.05469,10282
01-06-2021,83643.39844,84800,82811.79688,83083.45313,82613.25781,11331
02-06-2021,82800,84776.45313,82800,84432.64844,83954.82813,10170
03-06-2021,84705,85086,83810,84471,83992.96094,9669
04-06-2021,84850,85336,84240,84918.70313,84438.14063,11134
07-06-2021,85598.89844,87300,82250,82400.5,81934.17188,69851
08-06-2021,82260,82455.14844,81150.14844,81349.20313,80888.82813,26448
09-06-2021,81869,81989,80009,80228.14844,79774.13281,19134
10-06-2021,80301,82325.95313,80050.04688,82172.14844,81707.11719,20186
11-06-2021,82572.14844,82818.45313,81325.20313,82171.5,81706.47656,13297
14-06-2021,82000,83127.95313,81271.29688,82476.85156,82010.10938,11908
15-06-2021,82530.5,83357.75,81950,82862.70313,82393.77344,12061
16-06-2021,82799,83150,82350.04688,82554.29688,82087.10938,10103
17-06-2021,81925,83295.85156,81826.04688,82676.39844,82208.52344,14770
18-06-2021,82650,83147.39844,80500,82644.10156,82176.39844,32641
21-06-2021,81000,82250,81000,81777.04688,81314.25781,6928
22-06-2021,82500,82500,81500,81747.25,81284.63281,7101
23-06-2021,81750,82499.95313,81750,81970.54688,81506.65625,4801
24-06-2021,82198,82198,80650,80975,80516.75,9667
25-06-2021,81217.89844,81249.04688,80375,80514.20313,80058.54688,7525
28-06-2021,80899,81148.85156,80141,80554.64844,80098.77344,10158
29-06-2021,80750,80750,79527.75,80222.25,79768.26563,14280
30-06-2021,80300,80649.54688,79871,80079.5,79626.32031,7178
01-07-2021,80100,81467.85156,80100,81018.29688,80559.78906,9204
02-07-2021,81021.10156,81489.60156,80600,81142.29688,80683.09375,6768
05-07-2021,81190,81827.75,80600,80830.35156,80372.91406,8057
06-07-2021,80890,81384,80350,80449.20313,79993.92969,6734
07-07-2021,80600,81349.85156,80300.20313,80768.89844,80311.80469,10475
08-07-2021,81000,81339.95313,80100,80417.95313,79962.85156,5867
09-07-2021,80600,80699.89844,79880,79994.70313,79541.99219,10267
12-07-2021,80300,80480.20313,79880,80187.10156,79733.3125,5751
13-07-2021,80439.95313,83450,80001.10156,83115.79688,82645.42969,35724
14-07-2021,83000,83356.95313,82380.60156,82806.04688,82337.42969,9792
15-07-2021,82806,83254.95313,81116,81445.20313,80984.29688,10241
16-07-2021,81950,82710,81354.89844,82449.85156,81983.25,11216
19-07-2021,81800,82964.95313,81625,82236.29688,81770.90625,7692
20-07-2021,82201,82700,81402,81640.04688,81178.03125,7135
22-07-2021,81650.5,82400,81242.54688,81572,81110.35938,6118
23-07-2021,81879.95313,81969.75,81000,81174.85156,80715.46875,4471
26-07-2021,81349,81599.54688,80700,80917.75,80459.82031,5993
27-07-2021,80925,81319.95313,79947.85156,80095.35156,79642.07813,6581
28-07-2021,80255.54688,80545,79201.04688,79922.75,79470.45313,7559
29-07-2021,80002.29688,80297.79688,79451.95313,79725.5,79274.32031,5158
30-07-2021,79964.70313,81140,79713.29688,79907.45313,79455.23438,9818
02-08-2021,80499,81349.95313,80133.29688,80420.85156,79965.73438,10580
03-08-2021,80800,81220,80512.5,81018.39844,80559.89063,5106
04-08-2021,81019,81600.45313,80202,80453,80047.10938,6965
05-08-2021,80613.89844,80722.29688,79466.89844,79663.25,79261.33594,8114
06-08-2021,79696.95313,80149.75,79000,79159.64844,78760.27344,10148
09-08-2021,79489.95313,82664.79688,79200,80050.64844,79646.78125,64535
10-08-2021,80099,80939.95313,78200,78828.04688,78430.34375,22258
11-08-2021,79000,79799.64844,77300,77603.10156,77211.57813,16579
12-08-2021,78199,78709.95313,77605,78236.04688,77841.33594,13737
13-08-2021,78550,79200,78468.14844,78872.85156,78474.92969,9067
16-08-2021,78951.70313,79350,78110,78658.79688,78261.95313,8280
17-08-2021,78658.79688,79165.04688,77930.10156,78736.60156,78339.35938,9035
18-08-2021,79099,79500,78900,79347.14844,78946.83594,7011
20-08-2021,79399,79399,77805,78076.95313,77683.03125,8520
23-08-2021,78699,78699,75950,76162.89844,75778.64063,14541
24-08-2021,76500,77401,76014.75,77157.95313,76768.6875,12172
25-08-2021,77239.95313,77980,76737.54688,77015.54688,76626.99219,12272
26-08-2021,77131,77265,76300,76564.54688,76178.27344,8394
27-08-2021,76650,77332.64844,76564.54688,76953.45313,76565.22656,6617
30-08-2021,77000,78374.95313,77000,78185.5,77791.04688,9045
31-08-2021,78300,79855.04688,78257.79688,79742.75,79340.44531,14859
01-09-2021,80000,80559.95313,79239.79688,79954.64844,79551.26563,10789
02-09-2021,80393,81875.54688,80041.45313,81265.14844,80855.16406,14947
03-09-2021,81949,82600.10156,81509.89844,82397.85156,81982.14063,15764
06-09-2021,82700,83200,81278.75,81404.85156,80994.16406,10180
07-09-2021,81785,82300,80890.04688,81084.70313,80675.61719,11928
